Gender,NetWorth_Billions,Name,DateOfBirth,CountryOfCitizenship,BusinessCategory,WealthAcquisition,PrimaryInvestment,Education,MaritalStatus,PhilanthropyFocus,CompaniesOwned
Male,108.35,John Cook,1971-02-02,United States,Finance,Inherited,Private Equity,PhD,Married,Education,9
Male,6.06,Douglas Stone,1957-04-14,United States,Retail,Inherited,Cryptocurrency,Bachelor's,Widowed,Poverty,3
Male,116.62,Christian Turner,1953-06-14,India,Technology,Inherited,Real Estate,Master's,Divorced,Poverty,2
Female,4.53,Erica Cochran,1955-10-02,United States,Media,Mixed,Stocks,Bachelor's,Single,Education,8
Female,78.12,Erin Guerrero PhD,1978-08-15,Germany,Media,Inherited,Bonds,Bachelor's,Married,Climate,9
Male,12.19,Jose Andrade,1959-02-18,Japan,Media,Mixed,Startups,High School,Widowed,Arts,5
Female,43.18,Joyce Watson,1960-08-17,Russia,Manufacturing,Mixed,Stocks,High School,Single,Arts,5
Male,23.79,John Wilson,1952-04-06,Brazil,Real Estate,Mixed,Startups,High School,Married,Climate,9
Female,50.81,Kelly White,1952-04-15,Russia,Energy,Mixed,Bonds,Master's,Married,Technology,4
Male,8.8,Richard Campos,1960-02-14,Canada,Manufacturing,Self-made,Stocks,High School,Widowed,Climate,2
Female,64.98,Shelley Gates,1969-01-14,Russia,Retail,Self-made,Private Equity,Bachelor's,Divorced,Technology,10
Male,65.31,James Moss,1947-08-01,Russia,Retail,Self-made,Startups,PhD,Married,Education,6
Female,102.61,Jenna Foster,1947-12-24,United States,Energy,Mixed,Startups,Bachelor's,Divorced,Climate,9
Female,70.86,Jane Bishop,1959-02-09,Germany,Manufacturing,Self-made,Bonds,PhD,Widowed,Poverty,9
Male,102.98,Arthur Walker,1940-04-10,Russia,Technology,Self-made,Startups,Master's,Married,Arts,9
Male,111.48,Walter Cross,1989-09-20,Russia,Manufacturing,Mixed,Real Estate,Master's,Married,Education,2
Male,31.33,Samuel Brown,1942-11-01,Canada,Real Estate,Mixed,Private Equity,Bachelor's,Divorced,Poverty,6
Female,77.93,Joanna Randall,1985-07-16,Canada,Technology,Mixed,Real Estate,PhD,Single,Poverty,6
Male,99.16,Austin Warner,1963-04-12,Canada,Manufacturing,Inherited,Stocks,PhD,Divorced,Technology,7
Female,62.08,Debbie Davis,1942-01-26,Australia,Manufacturing,Inherited,Cryptocurrency,Bachelor's,Single,Technology,7
Male,23.72,David Cross,1958-05-10,India,Energy,Inherited,Stocks,Master's,Divorced,Poverty,1
Female,20.61,Regina Richardson,1982-06-13,China,Energy,Inherited,Bonds,High School,Single,Healthcare,10
Male,32.83,Andrew Valdez,1942-12-11,Japan,Media,Mixed,Real Estate,High School,Widowed,Climate,7
Male,55.14,Dr. Jordan Bowman,1986-10-08,Brazil,Real Estate,Mixed,Startups,Master's,Divorced,Education,7
Male,75.22,Jonathan Jackson,1960-04-05,India,Retail,Mixed,Bonds,High School,Widowed,Poverty,5
Female,11.34,Meagan Merritt,1955-10-04,Brazil,Real Estate,Mixed,Startups,Bachelor's,Divorced,Poverty,1
Female,8.25,Cindy Flores,1946-03-04,China,Manufacturing,Mixed,Private Equity,PhD,Single,Healthcare,5
Male,97.7,Michael Allen,1956-08-20,Russia,Real Estate,Self-made,Private Equity,High School,Married,Healthcare,10
Female,36.89,Angela Watkins,1945-10-01,Brazil,Media,Inherited,Real Estate,PhD,Married,Poverty,2
